5491	Arthur the Faithful	Paladin Trainer	1453	Stormwind City	38.4,32.4 38.4,32.6 38.6,32.4 38.6,32.6
4218	Denatharion	Druid Trainer	1457	Darnassus	34.4,7.4 34.4,7.6 34.6,7.4 34.8,7.8 34.8,8.6
3032	Beram Skychaser	Shaman Trainer	1456	Thunder Bluff	22.2,19 22.4,19.8 22.6,19.6 22.8,19.4
4217	Mathrengyl Bearwalker	Druid Trainer	1457	Darnassus	34.8,7.4 35.2,8 35.2,8.6
3033	Turak Runetotem	Druid Trainer	1456	Thunder Bluff	76.4,27.4 76.4,27.6 76.6,27.4 76.6,27.6
5505	Theridran	Druid Trainer	1453	Stormwind City	21.2,52.6 21.4,51.4 21.4,51.6 21.6,51.4
5165	Hulfdan Blackbeard	Rogue Trainer	1455	Ironforge	51.2,16 51.4,14.4 51.4,14.6 51.6,14.4 51.6,14.8 51.8,16 52.4,13.4
331	Maginor Dumas	Master Mage	1453	Stormwind City	37.4,81.6 38,81.6 38.2,81.4
5492	Katherine the Pure	Paladin Trainer	1453	Stormwind City	37.4,32 37.6,32.6 37.8,31.6
3344	Kardris Dreamseeker	Shaman Trainer	1454	Orgrimmar	38.4,37.2 38.8,36.4 38.8,36.6
13283	Lord Tony Romano	Rogue Trainer	1453	Stormwind City	78.2,57.2 78.2,58
4163	Syurna	Rogue Trainer	1457	Darnassus	36.2,21.4 36.2,21.6 36.8,21.8
5515	Einris Brightspear	Hunter Trainer	1453	Stormwind City	61.4,15.4 61.6,15.4 61.8,15.6
3401	Shenthul	Rogue Trainer	1454	Orgrimmar	43,53.4 43,53.6
4606	Aelthalyste	Priest Trainer	1458	Undercity	48.2,19.2 49,18.6 49.2,18.2 49.4,17 49.6,17.2
3036	Kym Wildmane	Druid Trainer	1456	Thunder Bluff	76.2,29.8 76.4,29 76.4,30.6 76.8,29.4 76.8,29.8 77.6,29.4 77.6,29.6
5497	Jennea Cannon	Mage Trainer	1453	Stormwind City	38.4,79.4 38.4,79.6 38.6,79.4 38.6,79.6
4568	Anastasia Hartwell	Mage Trainer	1458	Undercity	84.4,11 84.8,10.6 85,10.2
914	Ander Germaine	Warrior Trainer	1453	Stormwind City	78.2,47.2 78.2,47.6 78.6,46.6
928	Lord Grayson Shadowbreaker	Paladin Trainer	1453	Stormwind City	37.2,33 37.6,32.6
5173	Alexander Calder	Warlock Trainer	1455	Ironforge	50.2,6.2 50.2,6.8 50.2,7.6 50.6,6.8 50.8,6.4 50.8,8
5148	Beldruk Doombrow	Paladin Trainer	1455	Ironforge	24.4,5 24.4,6 24.6,5 24.8,4.4 24.8,6.2
3352	Ormak Grimshot	Hunter Trainer	1454	Orgrimmar	66.2,18.2 66.2,18.6
5498	Elsharin	Mage Trainer	1453	Stormwind City	37,81.2 37.4,81.6 37.6,81.2
376	High Priestess Laurena	Priest Trainer	1453	Stormwind City	38.4,26.2 38.8,26.4 38.8,26.6
5885	Deino	Mage Trainer	1454	Orgrimmar	37.8,86.6 38.4,85.4 38.4,85.8 38.6,85.2 38.6,86
11401	Priestess Alathea	Priest Trainer	1457	Darnassus	39,80.2 39.2,81 39.2,81.6 39.6,80.8 40,80
3354	Sorek	Warrior Trainer	1454	Orgrimmar	79.8,32.6 80.2,32.4 80.4,31.4
4582	Carolyn Ward	Rogue Trainer	1458	Undercity	83,72.8 83.4,70.8 83.4,72.4 83.8,71.4 83.8,71.6 83.8,72.6
5115	Daera Brightspear	Hunter Trainer	1455	Ironforge	70,90.6 70.2,88.2 70.4,89.4 70.4,90 70.6,90.6 70.8,89.4 71,90 71.6,88.4
5504	Sheldras Moontree	Druid Trainer	1453	Stormwind City	21,55.4 21,55.6 21.6,55
5484	Brother Benjamin	Priest Trainer	1453	Stormwind City	40.2,26.2 40.4,26.8 40.4,28 40.6,27.2 40.8,26.2 41.2,28.4 41.4,28.8 41.4,29.6 41.6,27.8 41.6,29.2 41.8,29.6
4219	Fylerian Nightwing	Druid Trainer	1457	Darnassus	33.4,8.4 33.4,8.6 33.6,8.4 33.6,8.6 33.8,7.2
5149	Brandur Ironhammer	Paladin Trainer	1455	Ironforge	23.4,6.2 23.4,6.6 23.6,6.4 24.2,6.8
4146	Jocaste	Hunter Trainer	1457	Darnassus	40.2,8.4 40.2,8.8 40.2,9.8
3403	Sian'tsu	Shaman Trainer	1454	Orgrimmar	37.4,37.2 37.8,36.4 37.8,36.6
5172	Briarthorn	Warlock Trainer	1455	Ironforge	50.2,5.4 50.2,6 50.2,7.4 50.6,6
3324	Grol'dar	Warlock Trainer	1454	Orgrimmar	48,46.2 48,46.8
3038	Kary Thunderhorn	Hunter Trainer	1456	Thunder Bluff	58.2,87 58.2,87.8
3031	Tigor Skychaser	Shaman Trainer	1456	Thunder Bluff	23.4,19.2 23.4,19.8 23.6,19.2 23.8,20
11406	High Priest Rohan	Priest Trainer	1455	Ironforge	23.4,7 23.6,6.4 23.6,7 25,8.4 25,8.6 25.6,9 26.4,7.4 26.4,7.6 26.8,7.4 26.8,7.6
4566	Kaelystia Hatebringer	Mage Trainer	1458	Undercity	85,14.6 85.2,14.2 85.2,15.6 85.6,14.8 85.8,14.2
6018	Ur'kyo	Priest Trainer	1454	Orgrimmar	35.4,87.6 35.6,87.4 35.6,87.6
7311	Uthel'nay	Mage Trainer	1454	Orgrimmar	38.8,85.4 39,86
5167	Fenthwick	Rogue Trainer	1455	Ironforge	51.4,15 51.6,15 51.8,15.6 52,13.6
3039	Holt Thunderhorn	Hunter Trainer	1456	Thunder Bluff	57.2,89.6 57.4,88.4 57.4,89.2 57.6,88.4 57.6,88.6
5495	Ursula Deline	Warlock Trainer	1453	Stormwind City	26,77.6 26.2,77.4 26.8,77
4565	Richard Kerwin	Warlock Trainer	1458	Undercity	88.2,14.8 88.2,16.8 88.4,16.2 88.6,15.4 88.6,16
5147	Valgar Highforge	Paladin Trainer	1455	Ironforge	22.4,5.6 22.6,6 23.4,5 23.6,4.4 23.6,5 24.6,4
13417	Sagorne Creststrider	Shaman Trainer	1454	Orgrimmar	38.4,36 38.6,36.2 38.8,36.6
3034	Sheal Runetotem	Druid Trainer	1456	Thunder Bluff	76.4,27.4 76.4,27.6 77,27.4 77,27.6 77.6,28
5171	Thistleheart	Warlock Trainer	1455	Ironforge	50.4,6.4 50.4,6.6 50.6,6.4 50.8,6.6 51,8.4
3408	Zel'mak	Warrior Trainer	1454	Orgrimmar	80.2,29.4 80.2,29.6
3326	Zevrost	Warlock Trainer	1454	Orgrimmar	48.2,45.4 48.4,45.6 48.6,45.4 48.6,45.6
4584	Gregory Charles	Rogue Trainer	1458	Undercity	84.2,72.4 84.4,73.4 84.4,73.6 84.6,73.2 84.6,73.6 85.2,72.2
3353	Grezz Ragefist	Warrior Trainer	1454	Orgrimmar	79.4,31.2 79.4,31.6 79.6,31.2 79.6,31.6
4092	Lariia	Priest Trainer	1457	Darnassus	39.4,88.4 39.4,88.8 40,87.4 40.2,88.4 40.2,88.6 40.6,88.2 40.6,88.6 41,89.6
5166	Ormyr Flinteye	Rogue Trainer	1455	Ironforge	52.2,13.4 52.4,15 52.6,14.8 52.8,13.2
918	Osborne the Night Man	Rogue Trainer	1453	Stormwind City	74,52.4 74.4,52.8 74.6,52.8 74.8,53.8
3406	Xor'juul	Hunter Trainer	1454	Orgrimmar	67,19.2 67,20
5489	Brother Joshua	Priest Trainer	1453	Stormwind City	38.4,26.6 38.8,26.4 38.8,26.8
3030	Siln Skychaser	Shaman Trainer	1456	Thunder Bluff	23,20.4 23,20.8 23.6,20.4 23.6,20.6
