# old node id	verdict (one|zero|many|skip)	real taxi ID(s)	old name
# GENERATED by tools/match_modern_taxi_nodes.py. "many" lists every candidate it
# found, most-likely first, but gen_modern_nodes.py renames it to that first one
# regardless -- better than the old descriptive id for now; fix the specific ones
# that turn out wrong by editing this file directly (re-running the matcher won't
# lose a MANUAL_FIXES-driven correction, but won't reorder a "many" row's
# candidates from real data either, so a by-hand reorder here is safe to keep).
# "zero" rows are used as-is (the old descriptive id, unrenamed); "skip" means a
# node this genuinely isn't the real taxi system at all (see NOT_REAL_TAXI).
AALGEN_POINT_FLIGHT	one	1942	Aalgen Point [name]
AERIE_PEAK_FLIGHT	one	43	Aerie Peak [name]
AGMARS_HAMMER_FLIGHT	one	256	Agmar's Hammer [name]
AKEETA_S_HOVEL_FLIGHT	one	1569	Akeeta's Hovel [name]
AKTARS_POST_FLIGHT	one	1643	Aktar's Post [name]
ALGETHERA_FLIGHT	one	2813	Algeth'era [capture]
ALLERIAN_STRONGHOLD_FLIGHT	one	121	Allerian Stronghold [name]
ALTAR_OF_SHATAR_FLIGHT	one	140	Altar of Sha'tar [name]
AMANIZAR_FLIGHT	one	3127	Amani'Zar Flightmaster [manual]
AMANI_FOOTHOLD_FLIGHT	one	3288	Amani Foothold [name]
AMANI_FOOTHOLD_FLIGHT_2	one	3288	Amani Foothold Windcaller [name]
AMBERPINE_LODGE_FLIGHT	one	253	Amberpine Lodge [name]
AMBER_LEDGE_FLIGHT	one	289	Amber Ledge [capture]
ANCHORITES_SOJOURN_FLIGHT	one	1451	Anchorite's Sojourn [name]
ANDORHAL_FLIGHT_ALLIANCE	one	650	Andorhal [name]
ANDORHAL_FLIGHT_HORDE	one	649	Andorhal [name]
ANTECEDENT_ISLE_FLIGHT	one	2734	Antecedent Isle [name]
ANYPORT_FLIGHT	one	2127	Anyport [name]
APEXIS_EXCAVATION_FLIGHT	one	1513	Apexis Excavation [name]
APEX_OBSERVATORY_FLIGHT	one	2801	Apex Observatory [name]
APOTHECARY_CAMP_FLIGHT	one	248	Apothecary Camp [name]
AREA_52_FLIGHT	one	122	Area 52 [name]
ARGENT_TOURNAMENT_GROUNDS_FLIGHT	one	340	Argent Tournament Grounds [name]
AROMS_STAND_FLIGHT	one	2106	Arom's Stand [name]
ASHEN_STRAND_FLIGHT_ALLIANCE	one	2410	Ashen Strand [name]
ASHEN_STRAND_FLIGHT_HORDE	one	2411	Ashen Strand [name]
ASPIRANTS_REST_FLIGHT	one	2519	Aspirant's Rest [capture]
ASTRANAAR_FLIGHT	one	28	Astranaar [name]
ATALAMAN_FLIGHT	one	3128	Atal'Aman Flightmaster [name]
ATALDAZAR_FLIGHT	one	2046	Atal'Dazar [name]
AXEFALL_FLIGHT	one	1487	Axefall [name]
AZUREWING_REPOSE_FLIGHT	one	1613	Azurewing Repose [name]
AZURE_ARCHIVES_FLIGHT	one	2773	Azure Archives [name]
AZURE_WATCH_FLIGHT	one	624	Azure Watch [name]
BAMBALA_FLIGHT	one	593	Bambala [name]
BARBTHORN_RIDGE_FLIGHT	one	2037	Barbthorn Ridge [name]
BASTION_RISE_FLIGHT_ALLIANCE	one	1511	Bastion Rise [name]
BASTION_RISE_FLIGHT_HORDE	one	1512	Bastion Rise [name]
BEASTWATCH_FLIGHT	one	1442	Beastwatch [name]
BEEBLES_WRECK_FLIGHT	one	1221	Beeble's Wreck [name]
BELAMETH_FLIGHT	one	2915	Bel'ameth Flightmaster [name]
BILGEWATER_HARBOR_FLIGHT	one	44	Bilgewater Harbor [name]
BINAN_VILLAGE_FLIGHT	one	1017	Binan Village [name]
BLACKFATHOM_CAMP_FLIGHT	one	338	Blackfathom Camp [name]
BLADESPIRE_CITADEL_FLIGHT	one	1387	Bladespire Citadel [name]
