# GENERATED by tools/gen_modern_nodes.py (tools/modern_ids.py): source id, Modern id, journal, faction.
DEEPHOLM_STORMWIND_PORTAL	PORTAL_DEEPHOLM_STORMWIND		
THE_STONECORE_DUNGEON	INSTANCE_THE_STONECORE	67	
THERAZANES_THRONE_PORTAL	PORTAL_THERAZANES_THRONE		
TEMPLE_OF_EARTH_PORTAL	PORTAL_TEMPLE_OF_EARTH		
DEEPHOLM_ORGRIMMAR_PORTAL	PORTAL_DEEPHOLM_ORGRIMMAR		
EVERSONG_HARANDAR_PORTAL	PORTAL_EVERSONG_HARANDAR		
IRONFORGE_FLIGHT	TAXI_6		
FORT_LIVINGSTON_FLIGHT	TAXI_590		
ZULGURUB_DUNGEON	INSTANCE_ZULGURUB	76	
SILVERMOON_STORMWIND_PORTAL	PORTAL_SILVERMOON_STORMWIND		
STORMWIND_MAGE_TOWER_ENTRANCE	STORMWIND_MAGE_TOWER_ENTRANCE		
DRAGONS_MOUTH_FLIGHT	TAXI_634		
SHADOWFANG_KEEP_DUNGEON	INSTANCE_SHADOWFANG_KEEP	64	
LIGHTS_SHIELD_TOWER_FLIGHT	TAXI_630		
DUSTWIND_DIG_FLIGHT	TAXI_633		
SOUTHPOINT_GATE_FLIGHT	TAXI_668		
DARKMOON_FAIRE_ENTRANCE_ELWYNN	DARKMOON_FAIRE_ENTRANCE_ELWYNN		
FORSAKEN_REAR_GUARD_FLIGHT	TAXI_681		
FORSAKEN_FORWARD_COMMAND_FLIGHT	TAXI_646		
AMANIZAR_FLIGHT	TAXI_3127		
IRON_SUMMIT_FLIGHT	TAXI_673		
PLAGUEWOOD_TOWER_FLIGHT	TAXI_84		
BOOTY_BAY_DOCK	DOCK_BOOTY_BAY		
THE_SEPULCHER_FLIGHT	TAXI_10		
CRUSHBLOW_FLIGHT	TAXI_656		
CHILLWIND_CAMP_FLIGHT	TAXI_66		
BOOTY_BAY_FLIGHT_ALLIANCE	TAXI_19		
SILVERMOON_HARANDAR_PORTAL	PORTAL_SILVERMOON_HARANDAR		
DRAGONMAW_PORT	DRAGONMAW_PORT		
STORMWIND_HARBOR	STORMWIND_HARBOR		
BLOODGULCH_FLIGHT	TAXI_659		
DRAGONMAW_PORT_FLIGHT	TAXI_661		
BLACKWING_LAIR_RAID	INSTANCE_BLACKWING_LAIR	742	
STORMWIND_STORMSHIELD_PORTAL	PORTAL_STORMWIND_STORMSHIELD		
BLACKROCK_MOUNTAIN_MOLE	BLACKROCK_MOUNTAIN_MOLE		
STORMWIND_DORNOGAL_PORTAL	PORTAL_STORMWIND_DORNOGAL		
TIRISFAL_ZIDORMI_PRESENT	TIRISFAL_ZIDORMI_PRESENT		
TIRISFAL_ZIDORMI_PAST	TIRISFAL_ZIDORMI_PAST		
STRATHOLME_DUNGEON	STRATHOLME_DUNGEON		
BLACKWING_DESCENT_RAID	INSTANCE_BLACKWING_DESCENT	73	
BLASTED_LANDS_ZIDORMI_PAST	BLASTED_LANDS_ZIDORMI_PAST		
AERIE_PEAK_FLIGHT	TAXI_43		
MENETHIL_HARBOR_FLIGHT	TAXI_7		
THE_VENOMOUS_ABYSS_RAID	INSTANCE_THE_VENOMOUS_ABYSS	1320	
SCHOLOMANCE_DUNGEON	INSTANCE_SCHOLOMANCE	246	
ANDORHAL_FLIGHT_HORDE	TAXI_649		
STORMWIND_BELAMETH_PORTAL	PORTAL_STORMWIND_BELAMETH		
MARCH_ON_QUELDANAS_RAID	INSTANCE_MARCH_ON_QUELDANAS	1308	
ATALAMAN_FLIGHT	TAXI_3128		
BADLANDS	BADLANDS		
STORMWIND_BORALUS_PORTAL	PORTAL_STORMWIND_BORALUS		
STORMWIND_DALARAN_NORTHREND_PORTAL	PORTAL_STORMWIND_DALARAN_NORTHREND		
STORMWIND_VALDRAKKEN_PORTAL	PORTAL_STORMWIND_VALDRAKKEN		
THE_MENDERS_STEAD_FLIGHT	TAXI_651		
SHATTERED_BEACHHEAD_FLIGHT	TAXI_1538		
NORTHERN_AMANI_BULWARK_FLIGHT	FLIGHT_NORTHERN_AMANI_BULWARK		
TOKKAS_LANDING_FLIGHT	TAXI_3168		
ANDORHAL_FLIGHT_ALLIANCE	TAXI_650		
GILNEAS	GILNEAS		
BLASTED_LANDS_ZIDORMI_PRESENT	BLASTED_LANDS_ZIDORMI_PRESENT		
MOLTEN_CORE_RAID	INSTANCE_MOLTEN_CORE	741	
GOLBOLAR_QUARRY_FLIGHT	TAXI_620		
SW_EMBASSY	SW_EMBASSY		
THE_UNDERBELLY_FLIGHT	FLIGHT_THE_UNDERBELLY		
FLAME_CREST_FLIGHT	TAXI_70		
ALTAR_OF_FANGS_DUNGEON	INSTANCE_ALTAR_OF_FANGS	1322	
MAGISTERS_TERRACE_DUNGEON	INSTANCE_MAGISTERS_TERRACE	1300	
EASTVALE_LOGGING_CAMP_FLIGHT	TAXI_589		
MAISARA_CAVERNS_DUNGEON	INSTANCE_MAISARA_CAVERNS	1315	
HINTERLANDS_DRUID	HINTERLANDS_DRUID		
DUSKWOOD_DRUID	DUSKWOOD_DRUID		
STORMWIND_ORIBOS_PORTAL	PORTAL_STORMWIND_ORIBOS		
VICTORS_POINT_FLIGHT	TAXI_663		
SILVERMOON_VOIDSTORM_PORTAL	PORTAL_SILVERMOON_VOIDSTORM		
SENTINEL_HILL_FLIGHT	TAXI_4		
STORMWIND_CAVERNS_OF_TIME_PORTAL	PORTAL_STORMWIND_CAVERNS_OF_TIME		
MORGANS_VIGIL_FLIGHT	TAXI_71		
WINDRUNNER_SPIRE_DUNGEON	INSTANCE_WINDRUNNER_SPIRE	1299	
THRONE_OF_THE_TIDES_DUNGEON	INSTANCE_THRONE_OF_THE_TIDES	65	
STORMWIND_AZSUNA_PORTAL	PORTAL_STORMWIND_AZSUNA		
THELSAMAR_FLIGHT	TAXI_8		
BOOTY_BAY_FLIGHT_HORDE	TAXI_18		
