# old node id	verdict (one|zero|many)	journalInstanceID(s)	old name
# GENERATED by tools/match_modern_instance_nodes.py -- review "zero" and "many" rows
# by hand (a wing/Timewalking-variant tiebreak, or it's genuinely not in the current
# Dungeon Journal any more) and either fix the ID here or leave the row as-is;
# gen_modern_nodes.py only acts on "one" rows.
ABERRUS_THE_SHADOWED_CRUCIBLE_RAID	one	1208	Aberrus, the Shadowed Crucible
AHNKAHET_THE_OLD_KINGDOM_DUNGEON	one	271	Ahn'kahet: The Old Kingdom
ALGETHAR_ACADEMY_DUNGEON	one	1201	Algeth'ar Academy
ALTAR_OF_FANGS_DUNGEON	one	1322	Altar of Fangs
AMIRDRASSIL_THE_DREAMS_HOPE_RAID	one	1207	Amirdrassil, the Dream's Hope
ANTORUS_THE_BURNING_THRONE_RAID	one	946	Antorus, the Burning Throne
ARA_KARA_CITY_OF_ECHOES_DUNGEON	one	1271	Ara-Kara, City of Echoes
ASSAULT_ON_VIOLET_HOLD_DUNGEON	one	777	Assault on Violet Hold
ATALDAZAR_DUNGEON	one	968	Atal'Dazar
AUCHENAI_CRYPTS_DUNGEON	one	247	Auchenai Crypts
AUCHINDOUN_DUNGEON	one	547	Auchindoun
AZJOLNERUB_DUNGEON	one	272	Azjol-Nerub
BASTION_OF_TWILIGHT_RAID	one	72	Bastion of Twilight
BLACKFATHOM_DEEPS_DUNGEON	one	227	Blackfathom Deeps
BLACKROCK_CAVERNS_DUNGEON	one	66	Blackrock Caverns
BLACKROCK_FOUNDRY_RAID	one	457	Blackrock Foundry
BLACKWING_DESCENT_RAID	one	73	Blackwing Descent
BLACKWING_LAIR_RAID	one	742	Blackwing Lair
BLACK_ROOK_HOLD_DUNGEON	one	740	Black Rook Hold
BLACK_TEMPLE_RAID	one	751	Black Temple
BLOODMAUL_SLAG_MINES_DUNGEON	one	385	Bloodmaul Slag Mines
BRACKENHIDE_HOLLOW_DUNGEON	one	1196	Brackenhide Hollow
CASTLE_NATHRIA_RAID	one	1190	Castle Nathria
CATHEDRAL_OF_ETERNAL_NIGHT_DUNGEON	one	900	Cathedral of Eternal Night
CINDERBREW_MEADERY_DUNGEON	one	1272	Cinderbrew Meadery
CITY_OF_THREADS_DUNGEON	one	1274	City of Threads
COURT_OF_STARS_DUNGEON	one	800	Court of Stars
CRUCIBLE_OF_STORMS_RAID	one	1177	Crucible of Storms
DARKFLAME_CLEFT_DUNGEON	one	1210	Darkflame Cleft
DARKHEART_THICKET_DUNGEON	one	762	Darkheart Thicket
DEADMINES_DUNGEON	one	63	The Deadmines
DEN_OF_NALORAKK_DUNGEON	one	1311	Den of Nalorakk
DE_OTHER_SIDE_DUNGEON	one	1188	De Other Side
DRAGON_SOUL_RAID	one	187	Dragon Soul
DRAKTHARON_KEEP_DUNGEON	one	273	Drak'Tharon Keep
ECO_DOME_ALDANI_DUNGEON	one	1303	Eco-Dome Al'dani
END_TIME_DUNGEON	one	184	End Time
EYE_OF_AZSHARA_DUNGEON	one	716	Eye of Azshara
FIRELANDS_RAID	one	78	Firelands
